sigma_threshold,site_identifier,mean_cls_delta,mean_patch_delta
2.5,blocks.0/pre_softmax,0.6302258271907878,0.6608868758120979
2.5,blocks.1/pre_softmax,0.823884329432325,0.5677818488559915
2.5,blocks.10/pre_softmax,0.4277814148337978,0.14461119399808545
2.5,blocks.11/pre_softmax,0.761488470428815,0.6830075947945172
2.5,blocks.2/pre_softmax,0.5580070114075631,0.6449061026200166
2.5,blocks.3/pre_softmax,1.25158156805737,0.8551856661869505
2.5,blocks.4/pre_softmax,1.9719860012743886,0.6932429034459994
2.5,blocks.5/pre_softmax,1.16740954909355,0.6016944280309349
2.5,blocks.6/pre_softmax,1.1714334614464181,0.49437382144649056
2.5,blocks.7/pre_softmax,0.12342392474476198,0.4707513004836241
2.5,blocks.8/pre_softmax,0.5043393210240991,0.49724347822407183
2.5,blocks.9/pre_softmax,0.6569948636169393,0.38401489048760756
2.75,blocks.0/pre_softmax,0.6297956766677336,0.46374255657797075
2.75,blocks.1/pre_softmax,0.8545429728640493,0.5932948065048579
2.75,blocks.10/pre_softmax,0.40139281597866366,0.08757157006434595
2.75,blocks.11/pre_softmax,0.6861185740260307,0.5724845074640857
2.75,blocks.2/pre_softmax,0.5427127798857077,0.5599113397372049
2.75,blocks.3/pre_softmax,0.8207907745982431,0.7382184404035071
2.75,blocks.4/pre_softmax,1.1777745662474581,0.5651036382954716
2.75,blocks.5/pre_softmax,1.1494768598530196,0.489949434472833
2.75,blocks.6/pre_softmax,0.7556074060452214,0.3951096533905371
2.75,blocks.7/pre_softmax,0.09109280645973876,0.3668787355360948
2.75,blocks.8/pre_softmax,0.508958367658522,0.3770529376542157
2.75,blocks.9/pre_softmax,0.6612462446315021,0.28565707724066397
3.0,blocks.0/pre_softmax,0.41039530064954155,0.3071356292853556
3.0,blocks.1/pre_softmax,0.6625433159466129,0.46245667568857857
3.0,blocks.10/pre_softmax,0.31329887763709785,0.03339159197208763
3.0,blocks.11/pre_softmax,0.5329059900245342,0.44241832247665114
3.0,blocks.2/pre_softmax,0.47842143611258764,0.45447232676023647
3.0,blocks.3/pre_softmax,0.45440849440366105,0.5339598166273446
3.0,blocks.4/pre_softmax,0.5397332711837348,0.3532023199265802
3.0,blocks.5/pre_softmax,0.8785639507122607,0.313792207611677
3.0,blocks.6/pre_softmax,0.4930640233170454,0.26421628539338987
3.0,blocks.7/pre_softmax,0.056807761739014105,0.25483599323919975
3.0,blocks.8/pre_softmax,0.42549856794867535,0.252169587487417
3.0,blocks.9/pre_softmax,0.5170624121359199,0.18593739125386774
3.25,blocks.0/pre_softmax,0.00041574715773104947,0.20546570425168897
3.25,blocks.1/pre_softmax,0.28120428186914476,0.30882234427999894
3.25,blocks.10/pre_softmax,0.15779112035808052,-0.1150953687467517
3.25,blocks.11/pre_softmax,0.2565685411927046,0.2472240873299726
3.25,blocks.2/pre_softmax,0.11531030969603295,0.32783834356781294
3.25,blocks.3/pre_softmax,0.09816149861063428,0.3509180694820057
3.25,blocks.4/pre_softmax,0.3602524052379997,0.17667316894046547
3.25,blocks.5/pre_softmax,0.26990444164114136,0.15344849632154012
3.25,blocks.6/pre_softmax,0.37243984085992127,0.13845745056160932
3.25,blocks.7/pre_softmax,-0.1492761397564234,0.13953732621429157
3.25,blocks.8/pre_softmax,0.13442721070757335,0.0708066240812734
3.25,blocks.9/pre_softmax,0.2303391299556521,-0.009232182249573931
3.5,blocks.0/pre_softmax,0.00041137665664408695,0.15446001283523814
3.5,blocks.1/pre_softmax,0.1254508414102082,0.19286158677286505
3.5,blocks.10/pre_softmax,0.09631735086441051,-0.09219161277517111
3.5,blocks.11/pre_softmax,0.13098955091144374,0.13665941759739084
3.5,blocks.2/pre_softmax,0.06436239616379863,0.23057024875887397
3.5,blocks.3/pre_softmax,-0.012335221826903517,0.24451160566964134
3.5,blocks.4/pre_softmax,0.0019365898679523375,0.0959851704806151
3.5,blocks.5/pre_softmax,-0.0040211180213149955,0.08152686440623913
3.5,blocks.6/pre_softmax,0.27797836052637453,0.0826713959564777
3.5,blocks.7/pre_softmax,-0.11764367358193524,0.08601135268370648
3.5,blocks.8/pre_softmax,0.06356359376016445,0.026050764721459285
3.5,blocks.9/pre_softmax,0.12452806396342637,-0.02201036355543699
