sigma_threshold,site_identifier,mean_cls_delta,mean_patch_delta
3.0,blocks.0/pre_softmax,0.41039530064954155,0.3071356292853556
3.0,blocks.1/pre_softmax,0.6625433159466129,0.46245667568857857
3.0,blocks.10/pre_softmax,0.31329887763709785,0.03339159197208763
3.0,blocks.11/pre_softmax,0.5329059900245342,0.44241832247665114
3.0,blocks.2/pre_softmax,0.47842143611258764,0.45447232676023647
3.0,blocks.3/pre_softmax,0.45440849440366105,0.5339598166273446
3.0,blocks.4/pre_softmax,0.5397332711837348,0.3532023199265802
3.0,blocks.5/pre_softmax,0.8785639507122607,0.313792207611677
3.0,blocks.6/pre_softmax,0.4930640233170454,0.26421628539338987
3.0,blocks.7/pre_softmax,0.056807761739014105,0.25483599323919975
3.0,blocks.8/pre_softmax,0.42549856794867535,0.252169587487417
3.0,blocks.9/pre_softmax,0.5170624121359199,0.18593739125386774
