sigma_threshold,site_identifier,mean_cls_delta,mean_patch_delta
3.0,blocks.0/pre_softmax,0.41039530064954155,0.3071356292853556
3.0,blocks.1/pre_softmax,0.6625433159466129,0.46245667568857857
3.0,blocks.10/pre_softmax,0.31329887763709785,0.03339159197208763
3.0,blocks.11/pre_softmax,0.5329059900245342,0.44241832247665114
3.0,blocks.2/pre_softmax,0.47842143611258764,0.45447232676023647
3.0,blocks.3/pre_softmax,0.45440849440366105,0.5339598166273446
3.0,blocks.4/pre_softmax,0.5397332711837348,0.3532023199265802
3.0,blocks.5/pre_softmax,0.8785639507122607,0.313792207611677
3.0,blocks.6/pre_softmax,0.4930640233170454,0.26421628539338987
3.0,blocks.7/pre_softmax,0.056807761739014105,0.25483599323919975
3.0,blocks.8/pre_softmax,0.42549856794867535,0.252169587487417
3.0,blocks.9/pre_softmax,0.5170624121359199,0.18593739125386774
4.0,blocks.0/pre_softmax,0.00041086970079064227,0.10316285641424898
4.0,blocks.1/pre_softmax,0.02664755451672902,0.09710122271115716
4.0,blocks.10/pre_softmax,0.05322319256525395,-0.06823699135589227
4.0,blocks.11/pre_softmax,0.05158574831713536,0.05738647643121567
4.0,blocks.2/pre_softmax,0.013944234940245126,0.12033493309633995
4.0,blocks.3/pre_softmax,-0.014100323184027411,0.1630894176331336
4.0,blocks.4/pre_softmax,-0.01028004469005924,0.033355290441059816
4.0,blocks.5/pre_softmax,0.0015355685207747622,0.02012127756422651
4.0,blocks.6/pre_softmax,0.16829456974240112,0.028738218045938197
4.0,blocks.7/pre_softmax,-0.11568193665988384,0.02686342767633798
4.0,blocks.8/pre_softmax,0.020812211142983372,-0.008689211248296691
4.0,blocks.9/pre_softmax,0.07109028138932151,-0.026854585401497138
6.0,blocks.0/pre_softmax,0.00041086970079064227,0.03672958001051404
6.0,blocks.1/pre_softmax,-0.00010488504215657353,0.004942883948258338
6.0,blocks.10/pre_softmax,0.007065507889806384,-0.014105560803881442
6.0,blocks.11/pre_softmax,0.006054469734240435,0.005963375522365366
6.0,blocks.2/pre_softmax,-0.0010943443745754372,0.020366766165426615
6.0,blocks.3/pre_softmax,-0.0005875539248155018,0.033381256043687385
6.0,blocks.4/pre_softmax,0.0009689029234989562,0.006144509292015636
6.0,blocks.5/pre_softmax,0.012068928996468923,0.0009125413369034385
6.0,blocks.6/pre_softmax,-0.004724405753384749,-0.0009233148805200356
6.0,blocks.7/pre_softmax,-0.0060586526895025266,-0.0018819023870628355
6.0,blocks.8/pre_softmax,-0.0007034449061010806,-0.0020206453625139695
6.0,blocks.9/pre_softmax,0.010975215465399849,-0.004262870248894268
