site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,3.0,blocks.0/pre_gelu,0.06383094676343166,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.1/pre_gelu,0.0503789170261081,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.10/pre_gelu,0.06436244788532187,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.11/pre_gelu,0.346557732825731,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.2/pre_gelu,0.0222574365377177,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.3/pre_gelu,0.044891429815892205,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.4/pre_gelu,0.09249507836629725,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.5/pre_gelu,0.15630606105135883,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.6/pre_gelu,0.16662220064265904,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.7/pre_gelu,0.2576210340307017,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.8/pre_gelu,0.24768281520409569,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
pre_gelu,3.0,blocks.9/pre_gelu,0.1494959216997929,63.54,86.46,84.76,97.48,False,per_channel,mean_only,[],[],[],[]
