site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,2.5,blocks.0/pre_gelu,2.563143981869813,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.1/pre_gelu,1.7819116698803417,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.10/pre_gelu,2.4620432145656292,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.11/pre_gelu,4.957414513370793,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.2/pre_gelu,2.0002812882707377,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.3/pre_gelu,1.609044309681768,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.4/pre_gelu,1.4942086378859867,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.5/pre_gelu,1.5587169006704145,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.6/pre_gelu,1.6730202373805318,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.7/pre_gelu,2.089716202229451,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.8/pre_gelu,3.0977147672871115,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.5,blocks.9/pre_gelu,4.169671194758385,18.38,36.58,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.0/pre_gelu,1.8143822189871293,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.1/pre_gelu,1.1622670409121332,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.10/pre_gelu,0.8197281913013216,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.11/pre_gelu,2.672359670043751,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.2/pre_gelu,1.1794174380695364,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.3/pre_gelu,0.8908696970932043,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.4/pre_gelu,0.8245567785231931,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.5/pre_gelu,0.8634932540879128,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.6/pre_gelu,0.9121259484606185,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.7/pre_gelu,1.0989760932554105,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.8/pre_gelu,1.3777240114227223,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,2.75,blocks.9/pre_gelu,1.3279920995567636,32.24,53.92,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.0/pre_gelu,1.3145186398534259,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.1/pre_gelu,0.7692379556643735,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.10/pre_gelu,0.23939381323897155,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.11/pre_gelu,1.9325643754119326,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.2/pre_gelu,0.6798395124756417,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.3/pre_gelu,0.4923127072560749,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.4/pre_gelu,0.46193168860427136,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.5/pre_gelu,0.4871879769548489,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.6/pre_gelu,0.49565067206313657,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.7/pre_gelu,0.579952673428947,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.8/pre_gelu,0.6455794427615063,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.9/pre_gelu,0.4650140023986056,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.0/pre_gelu,0.9763260182159342,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.1/pre_gelu,0.5179351290604871,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.10/pre_gelu,0.08511221007396509,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.11/pre_gelu,1.3236666466020475,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.2/pre_gelu,0.3846184205216397,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.3/pre_gelu,0.2741044305656461,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.4/pre_gelu,0.2656378393257215,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.5/pre_gelu,0.28057772633589945,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.6/pre_gelu,0.2730232703493564,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.7/pre_gelu,0.3136671980202293,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.8/pre_gelu,0.3306624273455162,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.25,blocks.9/pre_gelu,0.19414370292263805,58.4,82.84,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.0/pre_gelu,0.7448768649535005,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.1/pre_gelu,0.35823328037906416,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.10/pre_gelu,0.04048842240116043,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.11/pre_gelu,0.785268773769687,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.2/pre_gelu,0.21608005163621655,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.3/pre_gelu,0.15321718662336564,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.4/pre_gelu,0.1571846986486084,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.5/pre_gelu,0.16555261974679722,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.6/pre_gelu,0.15446649446110627,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.7/pre_gelu,0.17678811560402724,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.8/pre_gelu,0.18410591073452856,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.5,blocks.9/pre_gelu,0.09563555640678639,66.19,88.99,84.76,97.48,False,per_channel,outlier,[],[],[],[]
