site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,3.0,blocks.0/pre_gelu,1.3145186398534259,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.1/pre_gelu,0.7692379556643735,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.10/pre_gelu,0.23939381323897155,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.11/pre_gelu,1.9325643754119326,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.2/pre_gelu,0.6798395124756417,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.3/pre_gelu,0.4923127072560749,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.4/pre_gelu,0.46193168860427136,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.5/pre_gelu,0.4871879769548489,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.6/pre_gelu,0.49565067206313657,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.7/pre_gelu,0.579952673428947,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.8/pre_gelu,0.6455794427615063,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.9/pre_gelu,0.4650140023986056,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
