site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,3.0,blocks.0/pre_gelu,1.3145186398534259,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.1/pre_gelu,0.7692379556643735,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.10/pre_gelu,0.23939381323897155,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.11/pre_gelu,1.9325643754119326,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.2/pre_gelu,0.6798395124756417,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.3/pre_gelu,0.4923127072560749,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.4/pre_gelu,0.46193168860427136,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.5/pre_gelu,0.4871879769548489,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.6/pre_gelu,0.49565067206313657,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.7/pre_gelu,0.579952673428947,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.8/pre_gelu,0.6455794427615063,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,3.0,blocks.9/pre_gelu,0.4650140023986056,46.68,71.64,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.0/pre_gelu,0.4733838449428036,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.1/pre_gelu,0.18674128200965606,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.10/pre_gelu,0.01749114330285555,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.11/pre_gelu,0.2534328627690768,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.2/pre_gelu,0.06823143832812643,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.3/pre_gelu,0.05403599721471524,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.4/pre_gelu,0.06043271025921556,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.5/pre_gelu,0.06115720959552297,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.6/pre_gelu,0.05530349311128164,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.7/pre_gelu,0.06268634446036474,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.8/pre_gelu,0.0689177361248761,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.9/pre_gelu,0.03427069646804623,75.83,94.05,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.0/pre_gelu,0.20925297348457536,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.1/pre_gelu,0.07007611940680131,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.10/pre_gelu,0.004235647132996155,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.11/pre_gelu,0.02014684050779932,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.2/pre_gelu,0.0019446169867797214,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.3/pre_gelu,0.004985488175505707,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.4/pre_gelu,0.007417336533403701,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.5/pre_gelu,0.004245382558927385,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.6/pre_gelu,0.002950687003307116,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.7/pre_gelu,0.0018139453071169926,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.8/pre_gelu,0.002867804383860892,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.9/pre_gelu,0.002570413656198719,83.95,97.22,84.76,97.48,False,per_channel,outlier,[],[],[],[]
