site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,3.0,blocks.0/pre_gelu,0.32834480531442506,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.1/pre_gelu,0.2697069318015959,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.10/pre_gelu,0.45773330334407886,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.11/pre_gelu,1.9438829356033331,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.2/pre_gelu,0.232328070701355,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.3/pre_gelu,0.2234656166486964,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.4/pre_gelu,0.2552465772979958,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.5/pre_gelu,0.2898782095723566,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.6/pre_gelu,0.29132171418328007,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.7/pre_gelu,0.3961423100535847,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.8/pre_gelu,0.16532776829828122,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.9/pre_gelu,0.1075554257229113,42.39,72.72,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.0/pre_gelu,0.32834480531442506,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.1/pre_gelu,0.2697069318015959,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.10/pre_gelu,0.45773330334407886,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.11/pre_gelu,1.9438829356033331,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.2/pre_gelu,0.232328070701355,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.3/pre_gelu,0.2234656166486964,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.4/pre_gelu,0.2552465772979958,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.5/pre_gelu,0.2898782095723566,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.6/pre_gelu,0.29132171418328007,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.7/pre_gelu,0.3961423100535847,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.8/pre_gelu,0.16532776829828122,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,3.0,blocks.9/pre_gelu,0.1075554257229113,84.81,97.44,84.76,97.48,True,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.0/pre_gelu,0.04435557066418444,74.74,94.67,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.1/pre_gelu,0.05904212386412605,74.74,94.67,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.10/pre_gelu,0.0745920869996356,74.74,94.67,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.11/pre_gelu,0.15662560272060191,74.74,94.67,84.76,97.48,False,global,outlier,[],[],[],[]
pre_gelu,4.0,blocks.2/pre_gelu,0.014777625471599708,74.74,94.67,84.76,97.48,False,global,outlier,[],[],[],[]
