sigma_threshold,site_identifier,mean_cls_delta,mean_patch_delta
3.0,blocks.0/pre_softmax,0.40997683760715614,0.3078093327738603
3.0,blocks.1/pre_softmax,0.6664396734020569,0.4656783003408444
3.0,blocks.10/pre_softmax,0.3131529368961966,0.03670283024560361
3.0,blocks.11/pre_softmax,0.5326617211230474,0.4416527673527269
3.0,blocks.2/pre_softmax,0.4789813629280893,0.45509424731574843
3.0,blocks.3/pre_softmax,0.45624265962066746,0.5363443704091101
3.0,blocks.4/pre_softmax,0.5416515069010922,0.35473691775093125
3.0,blocks.5/pre_softmax,0.8775393103597923,0.3157870151805961
3.0,blocks.6/pre_softmax,0.4932966844352615,0.2656570545067016
3.0,blocks.7/pre_softmax,0.05666846196974625,0.2562245978174893
3.0,blocks.8/pre_softmax,0.4269261383034688,0.2532395437425932
3.0,blocks.9/pre_softmax,0.5186892191467384,0.18969672299671536
4.0,blocks.0/pre_softmax,3.6071222362850146e-05,0.10267804632512707
4.0,blocks.1/pre_softmax,0.027088771490832764,0.09721169678306751
4.0,blocks.10/pre_softmax,0.05248518294487262,-0.06777462416000783
4.0,blocks.11/pre_softmax,0.05092562528014281,0.05777973900709854
4.0,blocks.2/pre_softmax,0.014428817000135286,0.11994557486236897
4.0,blocks.3/pre_softmax,-0.013839237207748573,0.1629441307207539
4.0,blocks.4/pre_softmax,-0.010080821113462349,0.0331526200050957
4.0,blocks.5/pre_softmax,0.0012397558665743214,0.020187398808935608
4.0,blocks.6/pre_softmax,0.16749335012421673,0.028650338146383514
4.0,blocks.7/pre_softmax,-0.11418333969762569,0.027002654270745368
4.0,blocks.8/pre_softmax,0.020028025674088235,-0.009354174291837084
4.0,blocks.9/pre_softmax,0.07014333388791162,-0.026745823198366086
6.0,blocks.0/pre_softmax,3.6071222362850146e-05,0.0366051960235829
6.0,blocks.1/pre_softmax,0.00012209623867854893,0.004865115323361442
6.0,blocks.10/pre_softmax,0.007087759832388703,-0.014756638928678179
6.0,blocks.11/pre_softmax,0.0061009822497485695,0.006296390143996004
6.0,blocks.2/pre_softmax,-0.0006663485708863262,0.020612350696898863
6.0,blocks.3/pre_softmax,-0.0004053123085701142,0.03355001995535364
6.0,blocks.4/pre_softmax,0.0012098572455910839,0.006218462707153242
6.0,blocks.5/pre_softmax,0.01219322157028078,0.0008250395607766933
6.0,blocks.6/pre_softmax,-0.004529981509498987,-0.0010630567282201575
6.0,blocks.7/pre_softmax,-0.005566683647882598,-0.0018721468247440882
6.0,blocks.8/pre_softmax,-0.0007666300883785171,-0.0023496421322936425
6.0,blocks.9/pre_softmax,0.0108975487469814,-0.004634349661610433
