layer_name,quantized_accuracy,accuracy_drop
blocks.0.attn.qkv,93.75,0.0
blocks.0.attn.proj,93.75,0.0
blocks.0.mlp.fc1,93.75,0.0
blocks.0.mlp.fc2,93.75,0.0
blocks.1.attn.qkv,93.75,0.0
blocks.1.attn.proj,93.75,0.0
blocks.1.mlp.fc1,93.75,0.0
blocks.1.mlp.fc2,93.75,0.0
blocks.2.attn.qkv,93.75,0.0
blocks.2.attn.proj,93.75,0.0
blocks.2.mlp.fc1,93.75,0.0
blocks.2.mlp.fc2,93.75,0.0
blocks.3.attn.qkv,93.75,0.0
blocks.3.attn.proj,93.75,0.0
blocks.3.mlp.fc1,93.75,0.0
blocks.3.mlp.fc2,93.75,0.0
blocks.4.attn.qkv,93.75,0.0
blocks.4.attn.proj,93.75,0.0
blocks.4.mlp.fc1,93.75,0.0
blocks.4.mlp.fc2,93.75,0.0
blocks.5.attn.qkv,93.75,0.0
blocks.5.attn.proj,93.75,0.0
blocks.5.mlp.fc1,93.75,0.0
blocks.5.mlp.fc2,93.75,0.0
blocks.6.attn.qkv,93.75,0.0
blocks.6.attn.proj,93.75,0.0
blocks.6.mlp.fc1,93.75,0.0
blocks.6.mlp.fc2,94.53125,-0.78125
blocks.7.attn.qkv,93.75,0.0
blocks.7.attn.proj,93.75,0.0
blocks.7.mlp.fc1,93.75,0.0
blocks.7.mlp.fc2,93.75,0.0
blocks.8.attn.qkv,93.75,0.0
blocks.8.attn.proj,93.75,0.0
blocks.8.mlp.fc1,93.75,0.0
blocks.8.mlp.fc2,93.75,0.0
blocks.9.attn.qkv,93.75,0.0
blocks.9.attn.proj,93.75,0.0
blocks.9.mlp.fc1,93.75,0.0
blocks.9.mlp.fc2,93.75,0.0
blocks.10.attn.qkv,93.75,0.0
blocks.10.attn.proj,93.75,0.0
blocks.10.mlp.fc1,93.75,0.0
blocks.10.mlp.fc2,93.75,0.0
blocks.11.attn.qkv,93.75,0.0
blocks.11.attn.proj,93.75,0.0
blocks.11.mlp.fc1,93.75,0.0
blocks.11.mlp.fc2,93.75,0.0
head,93.75,0.0
